0x478,"Drácula\n
"
0x489,"A batalha que destruiu\n
permanentemente Drácula.\n
A previsão de Nostradamus ao\n
Rei do Terror era pela\n
ressurreição de Drácula.\n
Porém, os sacerdotes do Templo\n
Hakuba selaram seu castelo\n
durante um eclipse solar,\n
separando a alma de Drácula\n
do seu poder e portanto\n
libertando-a das correntes\n
do destino.\n
"
0x48A,"O Culto\n
"
0x48B,"Um culto religioso liderado pela\n
sacerdotiza Celia Fortner. Seu nome\n
formal é ""Com Luz"". Proclama que\n
para Deus ser totalmente\n
bom, deve haver um ser\n
absolutamente mau.\n
Ao invés de reverenciar\n
um Senhor das Trevas,\n
acredita em sua presença\n
e reverencia a Deus por\n
temer o Senhor das\n
Trevas.\n
"
0x48C,"Coelho Branco\n
"
0x48D,"Um monstro que se escondeu\n
dentro do Castelo de Drácula\n
quando este foi selado\n
durante o eclipse solar do\n
ano passado. Possuindo a\n
habilidade de controlar o\n
tempo, ele tentou impedir o\n
progresso de Soma. Ele é\n
amigo íntimo de Zéfiro.\n
"
0x48E,"Graham\n
"
0x48F,"Graham Jones\n
Um homem que era convicto de\n
ser o herdeiro de Drácula.\n
Ele nasceu no instante exato\n
da queda de Drácula em 1999.\n
Foi derrotado por Soma Cruz\n
no Castelo de Drácula\n
ano passado. Sua tentativa\n
fracassada, porém, deu a\n
Celia a ideia de criar um\n
novo Senhor das Trevas.\n
"
0x490,"O Poder da Dominância\n
"
0x491,"Habilidade de Soma Cruz\n
que o deixa absorver almas\n
de monstros derrotados e usar\n
seus poderes como próprios.\n
As chamadas Almas Táticas\n
vêm em quatro tipos:\n
Habilidade, Bala, Guardião,\n
e Encanto, cada uma com\n
diferentes atributos.\n
"
0x492,"Os Candidatos\n
"
0x493,"Humanos que nasceram no\n
mesmo instante da queda de\n
Drácula. Impregnados por uma\n
energia negra e poderosa\n
liberada por Drácula na sua\n
morte, eles possuem habilidades\n
sobrenaturais. Por essa razão,\n
eles são frequentemente\n
temidos e indesejados pelas\n
pessoas comuns.\n
"
0x494,"Batalha do Ano Passado\n
"
0x495,"Como foi previsto em 2035,\n
o Castelo de Drácula emergiu\n
de um eclipse solar, no Japão.\n
Sua aura negra atraiu humanos\n
para servirem como seus donos.\n
Soma derrotou Graham Jones,\n
que acreditava ser o herdeiro\n
do Castelo, mas então percebeu\n
ser ele mesmo o seu herdeiro.\n
Ele foi salvo com a ajuda\n
dos seus amigos.\n
"
0x496,"Almas Tipo Bala\n
"
0x497,"Um tipo de Alma Tática\n
que tem cor vermelha.\n
Usa pontos de magia (PM) para\n
executar magias tipo bala.\n
Essas magias são mais efetivas\n
contra monstros que são\n
difíceis de se vencer com\n
armas. Pressione {BUTTON UP} + {BUTTON Y}\n
para executar a magia\n
selecionada.\n
"
0x498,"Almas Tipo Guardião\n
"
0x499,"Um tipo de Alma Tática\n
que tem cor azul.\n
Ela contém feitiços que\n
consomem, gradativamente,\n
pontos de magia (PM)\n
quando a alma é usada.\n
Há dois subtipos: aquelas que\n
surtem efeito enquanto\n
o {BUTTON R} é pressionado,\n
e aquelas que são ativadas\n
ou desativadas usando o\n
botão {BUTTON R}.\n
"
0x49A,"Almas Tipo Encanto\n
"
0x49B,"Um tipo de Alma Tática\n
que tem cor amarela.\n
Ela contém magias que\n
surtem efeito enquanto\n
estão equipadas.\n
Não requerem pontos de magia\n
(PM), só precisam ser equipadas\n
para funcionar. Elas são\n
primariamente usadas para\n
melhorar o estado e raramente\n
para habilidades de ataque.\n
"
0x49C,"Almas Tipo Habilidade\n
"
0x49D,"Um tipo de Alma Tática\n
que tem cor prata.\n
Ela surte efeito apenas\n
quando em sua posse\n
e não consome pontos\n
de magia (PM).\n
Muitas delas são para\n
movimento de ajuda, como\n
a Esquiva.\n
Acionada com o botão {BUTTON L}.\n
"
0x49E,"Doppelganger (Alma)\n
"
0x49F,"Uma alma do tipo Habilidade que\n
possibilita a alternância\n
de dois tipos de equipamentos\n
pressionando {BUTTON X}.\n
Os dois tipos de equipamentos\n
são identificados como ""A""\n
e ""B"" no marcador do topo da\n
tela.\n
O progresso pode ficar mais\n
fácil ao atribuir equipamentos\n
para movimento e luta,\n
respectivamente.\n
"
0x4A0,"Doppelganger\n
"
0x4A1,"Um monstro que imita pessoas\n
engenhosamente para pegar\n
vítimas desprevenidas.\n
Celia usou esse monstro para\n
criar uma Mina falsa com o\n
objetivo de despertar o\n
Senhor das Trevas em Soma.\n
Suas ações foram rechaçadas,\n
embora por pouco, pelas\n
ações rápidas de Arikado.\n
"
0x4A2,"Mata-Vampiros\n
"
0x4A3,"Um chicote que destrói tudo\n
aquilo associado às criaturas\n
negras da noite.\n
Resultado de um antigo pacto\n
de sangue, ele só pode ser\n
usado por um Belmont. Seu\n
poder foi temporariamente\n
enfraquecido ano passado\n
quando Soma se libertou do seu\n
destino como Senhor das Trevas.\n
Porém, seu poder latente\n
não foi totalmente perdido.\n
"
0x4A4,"Castelo de Drácula\n
"
0x4A5,"O símbolo do poder negro de\n
Drácula, sua aparição\n
coincide com a ressurreição\n
de Drácula. Os sacerdotes do\n
Templo Hakuba o selaram durante\n
um eclipse solar em 1999.\n
Então, durante o eclipse\n
de 2035, ele procurou um\n
novo mestre, mas fracassou.\n
Agora, seu poder negro\n
aguarda a ascensão de um\n
novo Senhor das Trevas...\n
"
